state,date,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,dec_percent_bed_used,dec_percent_beds_used_COVID,dec_percent_COVID_of_beds_used
DC,4/27/20,2057,1317,413,0.640252795,0.200777832,0.313591496
MI,7/5/20,20963,12582,604,0.600200353,0.02881267,0.048005087
UT,8/6/20,5307,3362,265,0.633502921,0.049934049,0.07882213
MI,10/25/20,22837,16541,1364,0.724307046,0.059727635,0.082461762
FL,7/30/20,75595,44678,10358,0.591017924,0.137019644,0.231836698
AL,10/3/20,15112,10497,931,0.694613552,0.06160667,0.088692007
WY,6/22/20,998,451,17,0.451903808,0.017034068,0.037694013
PA,7/3/20,13639,7700,739,0.564557519,0.054182858,0.095974026
SC,4/28/20,11733,7323,489,0.624137049,0.04167732,0.066775912
OR,10/17/20,6364,4674,237,0.734443746,0.037240729,0.050706033
UT,8/18/20,5474,2964,167,0.541468761,0.030507855,0.05634278
AL,9/5/20,15320,10105,1010,0.6595953,0.065926893,0.09995052
FL,4/24/20,31524,17667,2782,0.560430148,0.088250222,0.157468727
DE,8/16/20,2187,1528,54,0.698673983,0.024691358,0.035340314
AZ,6/14/20,10845,8421,2577,0.77648686,0.237621024,0.306020663
MD,6/25/20,8726,7239,812,0.829589732,0.093055237,0.112170189
NY,5/27/20,36956,23720,4516,0.641844355,0.122199372,0.190387858
IA,7/16/20,8381,5119,13,0.610786302,0.001551128,0.002539559
OK,9/17/20,9669,6299,556,0.65146344,0.057503361,0.088267979
CA,7/7/20,69122,43198,7740,0.624952982,0.111975927,0.179174962
OH,4/28/20,10273,8180,756,0.796262046,0.073590967,0.092420538
WI,10/23/20,13074,8737,1542,0.668272908,0.117944011,0.176490786
ID,10/18/20,3778,1958,234,0.518263632,0.061937533,0.119509704
TN,5/12/20,12383,12222,500,0.986998304,0.040377937,0.040909835
KS,10/13/20,8329,5218,494,0.626485773,0.059310842,0.094672288
CA,7/24/20,53478,39360,9000,0.73600359,0.168293504,0.228658537
RI,9/12/20,2095,2117,81,1.010501193,0.038663484,0.038261691
TN,6/5/20,21034,13145,432,0.624940572,0.020538176,0.032864207
IL,9/7/20,29897,17790,1771,0.595042981,0.059236713,0.099550309
NY,11/16/20,49945,35449,2974,0.709760737,0.0595455,0.083895173
AR,8/24/20,8589,5553,568,0.646524625,0.066131098,0.102287052
IL,9/14/20,29919,18569,1700,0.620642401,0.056820081,0.091550434
AL,10/26/20,14862,10464,1081,0.704077513,0.072735836,0.103306575
ID,7/21/20,2338,1283,222,0.548759624,0.094952951,0.173031956
MO,11/4/20,20505,14030,1926,0.68422336,0.09392831,0.137277263
FL,5/9/20,29764,16275,3908,0.546801505,0.131299557,0.240122888
KY,5/15/20,12902,6677,500,0.517516664,0.038753682,0.07488393
DE,11/18/20,3233,2439,207,0.754407671,0.064027219,0.084870849
SC,9/17/20,10407,8442,801,0.811184779,0.076967426,0.094882729
TX,8/28/20,63795,45602,5500,0.714820911,0.086213653,0.120608745
MT,9/10/20,2593,2028,132,0.782105669,0.050906286,0.065088757
DE,5/29/20,2672,1705,222,0.638098802,0.083083832,0.130205279
TN,5/13/20,12388,12676,536,1.023248305,0.043267678,0.042284632
IA,10/23/20,8236,5259,573,0.638538125,0.069572608,0.108956075
VA,8/5/20,17507,11321,1388,0.646655623,0.079282573,0.12260401
CO,7/22/20,8672,5937,401,0.684617159,0.046240775,0.06754253
CO,5/10/20,3726,3206,459,0.86044015,0.123188406,0.143169058
ME,9/21/20,3119,2048,40,0.656620712,0.012824623,0.01953125
MA,9/26/20,19622,15460,346,0.787891143,0.017633269,0.022380336
CA,6/28/20,66732,41883,6212,0.627629923,0.093088773,0.148317933
KS,5/16/20,6127,2499,219,0.407866819,0.035743431,0.087635054
OR,6/25/20,6289,3852,186,0.612498012,0.029575449,0.048286604
NY,5/25/20,36942,23069,4690,0.624465378,0.126955769,0.203303134
CT,10/10/20,8193,5967,270,0.72830465,0.032954962,0.045248869
WV,6/9/20,5995,4028,93,0.671893244,0.015512927,0.023088381
VA,10/2/20,17746,11909,944,0.671080807,0.053195086,0.079267781
WI,11/2/20,13131,8463,1948,0.644505369,0.14835123,0.230178424
MD,7/3/20,8530,6632,716,0.777491208,0.083939039,0.107961399
NH,11/9/20,3215,2078,85,0.646345257,0.026438569,0.040904716
NJ,4/27/20,4948,3828,1839,0.773645918,0.371665319,0.480407524
DC,5/23/20,2920,1976,398,0.676712329,0.13630137,0.201417004
WY,8/17/20,1803,635,25,0.352190793,0.013865779,0.039370079
DE,7/29/20,2460,1993,154,0.810162602,0.062601626,0.077270447
ND,9/7/20,2279,1481,117,0.649846424,0.051338306,0.079000675
AZ,4/25/20,10284,5166,656,0.502333722,0.063788409,0.126984127
RI,11/8/20,2232,1873,239,0.839157706,0.107078853,0.127602776
PA,10/1/20,29619,25446,1076,0.859110706,0.036328033,0.042285624
NH,5/30/20,2765,1631,91,0.589873418,0.032911392,0.055793991
NE,9/5/20,5517,3270,221,0.592713431,0.040058003,0.067584098
WA,6/21/20,12000,7858,398,0.654833333,0.033166667,0.05064902
AZ,5/6/20,10644,6467,851,0.607572341,0.079951146,0.131591155
HI,9/20/20,1471,1851,166,1.258327668,0.112848402,0.089681253
MD,9/16/20,10680,8514,757,0.797191011,0.07088015,0.08891238
VI,11/19/20,168,98,1,0.583333333,0.005952381,0.010204082
MO,11/13/20,20220,14091,2561,0.696884273,0.126656775,0.181747215
OK,9/11/20,9700,6257,558,0.645051546,0.057525773,0.089180118
AZ,11/5/20,16085,11581,1071,0.719987566,0.066583774,0.092479061
KS,11/20/20,8545,5330,1227,0.623756583,0.143592744,0.230206379
ID,4/28/20,3541,1444,45,0.407794408,0.012708274,0.031163435
DC,7/3/20,3065,2088,143,0.681239804,0.046655791,0.06848659
NH,7/14/20,3187,2154,63,0.675870725,0.019767807,0.029247911
KS,8/15/20,7473,4320,316,0.578081092,0.042285561,0.073148148
GA,7/29/20,14018,11320,4422,0.807533172,0.315451562,0.390636042
NV,5/11/20,5157,3452,553,0.669381423,0.107232887,0.160196987
VI,6/22/20,82,61,2,0.743902439,0.024390244,0.032786885
CA,10/9/20,64977,46780,3221,0.719947058,0.049571387,0.068854211
PR,7/1/20,8508,4455,124,0.523624824,0.014574518,0.027833895
OR,9/22/20,6366,4597,196,0.722117499,0.030788564,0.042636502
CT,6/17/20,9806,5812,379,0.592698348,0.038649806,0.065209911
TN,5/18/20,11455,11245,421,0.981667394,0.03675251,0.037438862
MN,10/20/20,11464,7844,766,0.68422889,0.066817865,0.097654258
